semantic_category,cve_id,matched_cwes,matched_categories,title,description,public_code_reference,path
Authorization errors,CVE-2023-0240,,authorization_error;business_logic,Use after free in io_uring in the Linux Kernel,"There is a logic error in io_uring's implementation which can be used to trigger a use-after-free vulnerability leading to privilege escalation.

In the io_prep_async_work function the assumption that the last io_grab_identity call cannot return false is not true, and in this case the function will use the init_cred or the previous linked requests identity to do operations instead of using the current identity. This can lead to reference counting issues causing use-after-free. We recommend upgrading past version 5.10.161.",https://github.com/gregkh/linux/commit/1e6fa5216a0e59ef02e8b6b40d553238a3b81d49,cves/2023/0xxx/CVE-2023-0240.json
Authorization errors,CVE-2023-0298,CWE-863,authorization_error,Incorrect Authorization in firefly-iii/firefly-iii,Incorrect Authorization in GitHub repository firefly-iii/firefly-iii prior to 5.8.0.,https://github.com/firefly-iii/firefly-iii/commit/db0500dcf0d4f1990fc7a377ef0d56c3884fcaa4,cves/2023/0xxx/CVE-2023-0298.json
Authorization errors,CVE-2023-0609,CWE-285,authorization_error,Improper Authorization in wallabag/wallabag,Improper Authorization in GitHub repository wallabag/wallabag prior to 2.5.3.,https://github.com/wallabag/wallabag/commit/0f7460dbab9e29f4f7d2944aca20210f828b6abb,cves/2023/0xxx/CVE-2023-0609.json
Authorization errors,CVE-2023-0610,CWE-285,authorization_error,Improper Authorization in wallabag/wallabag,Improper Authorization in GitHub repository wallabag/wallabag prior to 2.5.3.,https://github.com/wallabag/wallabag/commit/5ac6b6bff9e2e3a87fd88c2904ff3c6aac40722e,cves/2023/0xxx/CVE-2023-0610.json
Authorization errors,CVE-2023-0664,CWE-269,authorization_error,,A flaw was found in the QEMU Guest Agent service for Windows. A local unprivileged user may be able to manipulate the QEMU Guest Agent's Windows installer via repair custom actions to elevate their privileges on the system.,https://gitlab.com/qemu-project/qemu/-/commit/07ce178a2b0768eb9e712bb5ad0cf6dc7fcf0158,cves/2023/0xxx/CVE-2023-0664.json
Authentication logic,CVE-2023-0311,CWE-287,authentication_logic,Improper Authentication in thorsten/phpmyfaq,Improper Authentication in GitHub repository thorsten/phpmyfaq prior to 3.1.10.,https://github.com/thorsten/phpmyfaq/commit/fe6e9f02ef1b26a03134b9becda12687ee5f3214,cves/2023/0xxx/CVE-2023-0311.json
Authentication logic,CVE-2023-0919,CWE-306,authentication_logic,Missing Authentication for Critical Function in kareadita/kavita,Missing Authentication for Critical Function in GitHub repository kareadita/kavita prior to 0.7.0.,https://github.com/Kareadita/Kavita/pull/1748/commits/6648b79e1b2f92449d5816d0722b7a3d72f259d5,cves/2023/0xxx/CVE-2023-0919.json
Authentication logic,CVE-2023-1065,CWE-287,authentication_logic,,"This vulnerability in the Snyk Kubernetes Monitor can result in irrelevant data being posted to a Snyk Organization, which could in turn obfuscate other, relevant, security issues. It does not expose the user of the integration to any direct security risk and no user data can be leaked. To exploit the vulnerability the attacker does not need to be authenticated to Snyk but does need to know the target's Integration ID (which may or may not be the same as the Organization ID, although this is an unpredictable UUID in either case).",https://github.com/snyk/kubernetes-monitor/commit/5b9a7821680bbfb6c4a900ab05d898ce2b2cc157,cves/2023/1xxx/CVE-2023-1065.json
Authentication logic,CVE-2023-1979,CWE-863,authorization_error;authentication_logic,Auth bypass in Web Stories for WordPress plugin,"The Web Stories for WordPress plugin supports the WordPress built-in functionality of protecting content with a password. The content is then only accessible to website visitors after entering the password. In WordPress, users with the ""Author"" role can create stories, but don't have the ability to edit password protected stories. The vulnerability allowed users with said role to bypass this permission check when trying to duplicate the protected story in the plugin's own dashboard, giving them access to the seemingly protected content. We recommend upgrading to version 1.32 or beyond commit  ad49781c2a35c5c92ef704d4b621ab4e5cb77d68 https://github.com/GoogleForCreators/web-stories-wp/commit/ad49781c2a35c5c92ef704d4b621ab4e5cb77d68 
",https://github.com/GoogleForCreators/web-stories-wp/commit/ad49781c2a35c5c92ef704d4b621ab4e5cb77d68,cves/2023/1xxx/CVE-2023-1979.json
Authentication logic,CVE-2023-25570,CWE-306,authorization_error;authentication_logic,Apollo has potential access control security issue in eureka,"Apollo is a configuration management system. Prior to version 2.1.0, there are potential security issues if users expose apollo-configservice to the internet, which is not recommended. This is because there is no authentication feature enabled for the built-in eureka service. Malicious hackers may access eureka directly to mock apollo-configservice and apollo-adminservice. Login authentication for eureka was added in version 2.1.0. As a workaround, avoid exposing apollo-configservice to the internet.",https://github.com/apolloconfig/apollo/commit/7df79bf8df6960433ed4ff782a54e3dfc74632bd,cves/2023/25xxx/CVE-2023-25570.json
